"죄종별(1)",죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타
"지능범죄",횡령,58508,1657,879,130,21192,396,578,930,215,1341,731,380,2236,5904,326,286,91,2085,835,3848,285,1159,337,908,399,88,121,11,5,1,8,972,1309,294,8571,58889,1991,1035,151,22669,253,641,989,214,1425,647,348,2002,5582,311,206,91,1766,801,3277,142,950,184,759,337,72,130,57,3,-,8,930,1076,236,9606,50421,2016,744,102,20347,228,658,1013,180,1516,555,197,1020,3926,229,166,69,1569,788,2437,90,972,117,528,313,42,135,22,1,3,4,952,900,144,8438
"지능범죄",배임,4566,173,96,2,127,9,6,3,2,55,21,15,86,1803,124,32,3,1,-,4,4,4,23,72,15,15,19,5,-,-,-,2,-,4,1841,4092,175,79,-,192,6,5,4,4,46,21,16,59,1778,50,44,7,-,-,-,4,4,20,66,16,19,23,1,1,-,3,4,-,6,1439,3466,141,46,1,151,7,3,5,4,39,20,7,35,1543,36,22,1,-,-,-,4,8,15,43,17,12,7,1,-,-,1,5,-,1,1291
"풍속범죄",소계,21153,1693,1760,6,2457,25,83,122,19,377,192,809,849,2062,23,2,23,742,674,337,32,248,245,7,55,12,33,-,17,1,1,60,1150,324,6713,22632,1884,1950,5,2287,30,67,102,24,291,213,791,736,2602,21,1,35,543,401,235,27,199,166,12,63,7,33,2,24,-,3,52,1025,246,8555,23360,2605,2112,-,2203,36,52,117,16,342,187,661,526,1996,19,2,32,493,414,375,21,205,168,6,41,5,39,4,14,-,-,45,822,258,9544
"풍속범죄",성풍속범죄,13145,1282,862,6,2362,24,68,118,18,207,113,691,343,364,5,2,1,738,673,334,13,191,245,5,54,11,16,-,2,1,1,51,1150,109,3085,14497,1555,1156,5,2182,30,61,100,24,182,124,743,267,391,6,1,2,541,401,233,12,161,155,8,61,6,14,-,8,-,3,47,1025,91,4902,16969,2316,1486,-,2132,36,45,114,15,186,130,611,206,383,4,1,1,492,414,373,10,196,168,2,41,4,24,-,7,-,-,42,822,150,6558
"풍속범죄",도박범죄,8008,411,898,-,95,1,15,4,1,170,79,118,506,1698,18,-,22,4,1,3,19,57,-,2,1,1,17,-,15,-,-,9,-,215,3628,8135,329,794,-,105,-,6,2,-,109,89,48,469,2211,15,-,33,2,-,2,15,38,11,4,2,1,19,2,16,-,-,5,-,155,3653,6391,289,626,-,71,-,7,3,1,156,57,50,320,1613,15,1,31,1,-,2,11,9,-,4,-,1,15,4,7,-,-,3,-,108,2986
"특별경제범죄",소계,51400,1411,1370,38,5251,83,430,1384,61,2321,991,749,9263,8625,503,339,28,226,34,353,59,77,192,1918,907,96,134,14,6,-,6,234,4,152,14141,47826,1471,1068,31,4856,38,500,1424,59,2092,821,664,8417,7713,497,409,39,215,33,478,53,78,97,1068,791,82,117,11,2,-,4,216,2,127,14353,40708,1278,874,28,4104,50,373,1381,58,2187,686,604,4825,5978,517,355,25,191,17,381,38,57,80,650,564,50,112,10,2,-,5,187,4,91,14946
"마약범죄",소계,8038,836,1674,16,1774,1,2,25,-,77,30,818,221,209,42,2,5,59,5,144,4,26,3,198,195,6,238,2,1,1,2,110,35,16,1261,9186,883,1982,5,1771,4,4,52,-,139,36,849,221,207,67,1,3,54,5,174,3,17,3,221,350,3,336,-,1,-,4,104,31,11,1645,8088,963,1430,7,1719,-,1,17,-,98,30,934,148,152,67,2,6,55,1,127,1,17,7,52,311,3,278,-,-,1,-,90,26,5,1540
"보건범죄",소계,12570,1021,332,4,746,2,92,29,3,948,594,165,3325,1054,155,2,16,6,-,4,29,16,8,2,1544,3,53,-,4,-,3,26,-,21,2363,14595,1083,638,3,983,4,75,41,5,865,475,280,3975,1041,101,1,19,11,4,4,15,20,10,3,1161,76,60,287,-,-,2,22,-,64,3267,16936,1426,874,5,919,1,59,52,1,780,454,164,5865,841,384,3,4,9,-,7,29,49,7,7,964,59,85,2,-,1,2,15,-,41,3827
"환경범죄",소계,3877,8,35,4,520,-,-,-,-,44,9,2,190,173,818,448,31,5,-,20,9,4,2,-,21,2,326,324,1,-,27,7,-,-,847,3568,11,14,2,589,-,6,-,-,20,4,4,4,140,694,368,26,3,-,10,3,4,3,-,8,-,305,389,2,-,10,7,-,-,942,3656,12,19,3,599,1,1,-,-,43,5,5,2,168,832,262,24,6,1,18,13,5,2,-,7,1,228,170,-,-,13,9,-,-,1207
"교통범죄",소계,377354,104,27,5163,369771,-,2,6,2,42,91,5,10,76,28,18,5,9,1,91,-,10,11,-,7,1,44,125,-,-,3,768,1,-,933,348725,114,45,4154,342058,-,1,4,1,29,59,4,19,63,31,23,2,39,1,60,3,13,6,1,11,3,49,119,3,-,4,826,-,-,980,308634,105,38,5327,300530,1,1,4,-,36,79,7,14,74,9,21,3,7,-,63,4,9,4,1,3,3,56,132,1,-,1,769,-,-,1332
"노동범죄",소계,975,3,12,-,40,-,-,2,-,4,2,5,127,126,14,11,-,1,-,7,-,-,3,-,3,-,8,460,-,-,-,-,-,-,147,356,8,8,-,23,-,-,1,-,4,1,3,53,98,13,7,-,1,-,9,-,-,1,-,2,1,2,14,-,1,-,-,-,-,106,406,3,5,-,21,-,-,1,-,1,4,10,44,134,19,7,-,-,1,1,-,-,4,-,3,-,3,4,-,-,-,-,-,-,141
"안보범죄",소계,169,6,8,-,33,-,-,-,-,-,-,-,2,27,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,91,216,3,7,-,42,-,-,-,-,1,-,-,1,56,-,-,-,2,-,-,1,-,-,3,-,1,-,-,-,-,-,-,-,-,99,206,2,6,-,32,-,-,1,-,-,-,3,4,49,2,-,-,-,-,2,-,-,1,3,-,-,-,1,-,-,-,-,-,1,99
"선거범죄",소계,611,7,79,-,85,-,-,-,-,4,2,-,53,164,1,-,1,-,-,4,1,4,2,16,6,5,3,-,-,-,-,4,-,-,170,829,17,19,-,264,-,-,-,-,3,15,1,36,181,-,-,-,13,1,1,1,9,11,1,2,35,-,-,-,-,-,4,-,-,215,274,6,6,-,101,-,-,-,-,3,-,-,7,54,-,-,-,1,-,-,1,-,1,1,-,3,-,-,-,-,-,-,-,-,90
"병역범죄",소계,12712,1373,2441,-,463,1,-,-,-,12,5,33,4,1123,6,-,-,3,3,-,3,54,15,1,6,-,8,-,1941,-,8,1,-,-,5208,3845,345,672,-,148,-,-,-,-,4,1,10,2,426,1,-,-,1,1,1,-,9,8,-,3,-,-,1,401,-,3,-,-,-,1808,1823,128,244,1,76,-,-,-,-,1,-,5,-,248,5,-,-,3,1,1,-,6,10,-,4,-,1,-,76,-,-,-,-,-,1013
"기타범죄",소계,240168,16672,15780,930,42567,96,819,1999,59,3559,1818,2991,18298,26264,2486,1552,536,2059,198,3299,325,814,1881,407,2248,822,3240,18902,137,24,122,1662,197,1339,66066,241829,17930,15522,1267,43020,94,687,1925,68,3224,1548,2535,14713,23364,2210,1323,463,1919,197,1006,303,874,1493,264,2081,566,2842,24156,131,28,90,1673,212,1361,72740,243082,23270,16456,1225,44243,77,588,1871,67,2620,1336,2766,11028,20274,1742,1067,338,3218,173,1743,259,737,1759,209,1826,510,2782,15713,125,33,72,1791,172,943,82049
