"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,미성년,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상
"죄종별(1)",죄종별(2),소계,소계,14세미만,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계
"폭력범죄",폭력행위등,7622,2047,-,403,582,448,347,267,5546,279,256,1112,572,461,493,448,519,522,415,213,140,116,29,6713,1970,521,501,373,306,269,4722,234,192,905,463,405,385,370,422,452,430,239,112,113,21,6422,1808,424,488,331,284,281,4538,226,223,767,447,338,414,366,419,401,381,262,153,141,76,5360,1221,322,273,239,191,196,4065,212,159,632,374,272,340,328,392,455,404,237,141,119,74,4478,1161,241,306,235,181,198,3309,175,144,494,309,225,257,253,360,313,316,228,118,117,8
"폭력범죄",공갈,479,68,-,17,24,16,7,4,408,5,8,47,42,50,36,42,47,48,39,19,14,11,3,524,82,21,23,13,16,9,438,8,11,26,28,40,49,56,56,66,55,22,11,10,4,534,93,30,28,18,8,9,434,7,7,40,37,33,51,44,68,58,37,22,18,12,7,587,87,23,10,21,17,16,483,12,15,27,52,65,62,53,65,54,29,34,5,10,17,462,60,19,20,7,5,9,402,7,2,44,50,38,38,43,43,50,42,25,14,6,-
"폭력범죄",손괴,4769,98,-,12,12,15,23,36,4666,46,58,296,310,395,429,492,669,684,580,274,167,266,5,5036,92,13,11,14,20,34,4926,51,54,343,313,387,481,502,683,684,569,351,197,311,18,5750,114,10,18,24,18,44,5598,64,61,350,368,408,542,570,695,768,655,439,245,433,38,5833,115,27,26,16,20,26,5693,49,69,404,397,406,530,530,690,727,679,487,289,436,25,5727,119,17,22,31,19,30,5589,41,66,368,448,404,427,529,701,728,578,521,299,479,19
"지능범죄",소계,59883,2243,6,145,238,420,717,717,57259,587,793,3849,3672,4815,5869,6613,8029,8334,7450,3959,1862,1427,381,67938,2064,135,257,380,602,690,65533,598,879,4472,4079,5225,6806,7472,9395,8870,8711,5031,2218,1777,341,72830,1965,192,281,309,557,626,70160,760,843,4771,4418,5082,7284,7840,9783,9575,9455,5732,2511,2106,705,70646,2131,192,279,394,610,656,67078,891,1124,5380,4728,4539,6382,6448,8768,9274,8685,6003,2714,2142,1437,49629,1786,200,292,355,404,535,47601,827,1008,4594,3520,3149,3869,4407,5556,6302,5806,4480,2224,1859,242
"지능범죄",직무유기,124,-,-,-,-,-,-,-,109,-,-,1,9,15,15,24,20,14,9,1,-,1,15,163,-,-,-,-,-,-,151,-,-,8,11,16,26,18,45,12,12,1,2,-,12,172,-,-,-,-,-,-,127,5,1,3,16,16,16,25,20,19,5,1,-,-,45,266,-,-,-,-,-,-,179,-,1,1,25,20,34,18,44,18,17,1,-,-,87,161,-,-,-,-,-,-,148,-,-,10,17,14,25,18,16,26,16,2,4,-,13
"지능범죄",직권남용,81,-,-,-,-,-,-,-,76,-,-,1,3,5,10,13,16,12,10,3,2,1,5,114,-,-,-,-,-,-,109,-,-,3,6,8,10,16,34,19,11,2,-,-,5,140,-,-,-,-,-,-,118,-,-,3,10,10,18,13,22,17,15,6,2,2,22,237,-,-,-,-,-,-,134,-,-,4,17,17,11,15,30,13,15,11,1,-,103,118,-,-,-,-,-,-,98,-,-,3,16,15,13,16,11,14,8,1,1,-,20
"지능범죄",증수뢰,105,-,-,-,-,-,-,-,105,-,-,-,2,5,13,15,16,20,12,11,8,3,-,198,-,-,-,-,-,-,197,-,-,8,12,11,25,41,41,21,15,16,3,4,1,128,-,-,-,-,-,-,128,-,-,1,3,7,22,23,24,13,17,11,6,1,-,117,-,-,-,-,-,-,114,-,1,2,-,1,13,19,13,26,17,19,3,-,3,103,-,-,-,-,-,-,103,-,-,2,-,1,9,19,21,21,10,12,6,2,-
"지능범죄",통화,22,2,-,1,-,-,1,-,19,1,1,2,2,-,2,-,1,4,1,2,2,1,1,20,5,-,-,-,5,-,15,1,1,1,2,1,2,1,1,1,2,1,-,1,-,23,2,-,-,1,-,1,21,1,-,-,2,-,3,1,1,7,2,2,1,1,-,14,-,-,-,-,-,-,13,-,-,2,-,3,-,1,-,1,1,1,1,3,1,4,-,-,-,-,-,-,4,-,-,-,-,-,-,1,1,-,-,-,1,1,-
"지능범죄",문서·인장,4248,707,-,7,33,106,277,284,3474,21,18,177,211,277,363,466,536,449,474,201,135,146,67,4222,594,7,38,83,218,248,3585,32,24,163,201,240,318,465,536,512,497,320,139,138,43,4362,536,4,39,58,204,231,3732,29,23,153,240,268,351,438,544,530,479,335,169,173,94,4187,532,12,35,94,197,194,3527,19,27,120,218,211,315,350,499,560,477,381,168,182,128,3108,280,17,30,57,97,79,2808,10,10,104,138,169,204,295,416,446,378,307,170,161,20
"지능범죄",유가증권인지,48,2,-,-,1,1,-,-,46,-,1,-,1,1,3,4,4,13,8,4,6,1,-,47,1,-,-,1,-,-,46,-,-,3,1,2,5,2,9,8,6,7,3,-,-,38,-,-,-,-,-,-,37,-,-,-,-,2,3,3,5,16,3,3,1,1,1,22,-,-,-,-,-,-,21,-,-,-,-,1,2,2,1,4,2,3,3,3,1,11,-,-,-,-,-,-,11,-,-,-,-,-,2,2,-,-,-,2,4,1,-
"지능범죄",사기,46374,1127,6,106,171,208,307,329,45014,484,701,3281,2981,3921,4715,5167,6261,6564,5823,2990,1285,841,233,53319,1059,105,172,226,247,309,52034,502,782,3864,3427,4278,5550,5936,7433,7007,6867,3767,1573,1048,226,57952,1086,152,195,182,251,306,56450,646,746,4209,3705,4214,6017,6348,7904,7712,7546,4417,1773,1213,416,55328,1228,141,195,220,302,370,53194,813,1038,4781,3971,3744,5138,5104,6837,7314,6843,4510,1909,1192,906,37534,1222,153,233,220,230,386,36179,771,937,4128,2941,2459,2939,3282,4147,4687,4396,3196,1419,877,133
